,,pass1,pass1,pass1,,pass2,pass2,pass2
,,2m smoothing,5m smoothing,10m smoothing,,2m smoothing,5m smoothing,10m smoothing
transect,transect segment,Length_m,Length_m,Length_m,,Length_m,Length_m,Length_m
H066,H066_P1_3,129.011,126.776,122.639,,128.944,126.743,122.694
H066,H066_P1_4,46.444,45.817,45.020,,46.444,45.817,45.020
H069,H069_P1_1,96.879,96.581,96.106,,96.879,96.581,96.106
H069,H069_P1_2,22.145,22.110,22.107,,22.145,22.110,22.107
H069,H069_P1_3,30.782,30.740,30.721,,30.782,30.740,30.721
H069,H069_P1_4,4.105,4.104,4.100,,4.105,4.104,4.100
H069,H069_P1_5,116.344,115.097,113.300,,116.344,115.097,113.300
H069,H069_P1_6,138.515,138.265,137.884,,138.515,138.265,137.884
H072,H072_P1_1,240.673,234.676,232.372,,240.569,234.661,232.326
H072,H072_P1_2,7.062,7.062,4.772,,7.062,7.062,4.772
H072,H072_P1_3,239.207,219.513,209.717,,239.207,219.513,209.717
H072,H072_P1_4,39.228,34.377,31.462,,38.013,33.288,30.696
H078,H078_P1_1,179.067,168.385,163.063,,174.044,166.535,162.583
H078,H078_P1_2,13.280,12.906,12.893,,13.280,12.906,12.893
H078,H078_P1_3,204.110,199.127,195.727,,204.110,199.127,195.727
H078,H078_P1_4,128.798,127.133,124.764,,128.798,127.133,124.764
H078,H078_P1_5,16.276,16.241,16.236,,16.276,16.241,16.236
H079,H079_P1_1,100.701,99.987,99.228,,100.701,99.987,99.228
H079,H079_P1_2,410.502,398.470,390.881,,407.758,397.531,390.666
H085,H085_P1_1,745.535,731.040,721.467,,740.307,728.935,720.595
H088,H088_P1_1,45.738,41.128,39.903,,45.738,41.128,39.903
H088,H088_P1_2,398.742,389.699,383.308,,398.618,389.649,383.193
H088,H088_P1_3,69.696,65.440,62.895,,69.699,65.503,62.954
H088,H088_P1_4,90.779,85.402,81.218,,89.595,85.213,81.332
H090,H090_P1_1,741.180,718.342,709.960,,738.112,717.519,709.673
H091,H091_P1_1,142.579,132.135,127.223,,142.579,132.135,127.223
H091,H091_P1_2,236.543,230.591,226.469,,236.347,230.320,226.076
H091,H091_P1_3,91.329,87.063,85.168,,91.329,87.063,85.168
H091,H091_P1_4,33.063,33.034,33.023,,33.063,33.034,33.023
H091,H091_P1_5,2.327,2.327,2.327,,2.327,2.327,2.327
H092,H092_P1_1,10.050,10.045,10.044,,10.050,10.045,10.044
H092,H092_P1_2,128.244,126.108,125.006,,128.165,126.113,125.036
H092,H092_P1_3,12.841,12.790,12.777,,12.841,12.790,12.777
H092,H092_P2_1,37.804,37.042,36.623,,37.804,37.042,36.623
H092,H092_P2_2,63.007,60.538,59.223,,63.007,60.538,59.223
H092,H092_P2_3,51.788,49.411,48.260,,51.791,49.414,48.262
H092,H092_P2_4,98.817,94.183,91.929,,98.817,94.183,91.929
H093,H093_P1_1,625.930,615.721,609.559,,625.891,615.699,609.518
H099,H099_P1_1,20.891,17.485,16.983,,20.891,17.485,16.983
H099,H099_P1_2,121.176,117.085,106.779,,121.176,117.085,106.779
H099,H099_P1_3,106.260,103.321,102.486,,106.260,103.321,102.486
H099,H099_P1_4,20.578,20.236,20.227,,20.578,20.236,20.227
H099,H099_P1_5,90.326,89.237,88.763,,90.326,89.237,88.763
H099,H099_P1_6,30.364,29.262,29.049,,30.364,29.262,29.049
H101,H101_P1_1,227.955,221.686,216.177,,227.955,221.686,216.177
H101,H101_P1_2,338.240,333.097,333.405,,335.978,332.005,332.457
H109,H109_P1_1,68.275,65.628,64.292,,68.275,65.628,64.292
H109,H109_P1_2,22.047,20.350,20.253,,22.047,20.350,20.253
H109,H109_P1_3,341.219,330.092,321.884,,341.209,330.096,321.884
H112,H112_P1_1,38.353,35.560,33.939,,38.353,35.560,33.939
H112,H112_P1_2,190.133,175.337,166.862,,189.982,175.202,166.628
H112,H112_P1_3,286.474,277.270,269.982,,286.329,277.230,269.969
H113,H113_P1_1,419.061,401.286,387.573,,418.791,401.146,387.485
H114,H114_P1_1,366.938,354.853,345.087,,366.945,354.858,345.088
H114,H114_P1_2,25.516,24.618,24.525,,25.516,24.618,24.525
H114,H114_P1_3,37.584,36.216,35.790,,37.584,36.216,35.790
H114,H114_P1_4,17.539,17.285,17.276,,17.539,17.285,17.276
H114,H114_P1_5,15.586,14.946,14.924,,15.586,14.946,14.924
H119,H119_P1_1,256.498,244.356,234.637,,254.656,243.596,234.337
H119,H119_P1_2,107.324,103.846,102.670,,107.324,103.846,102.670
H119,H119_P1_3,53.887,50.070,48.766,,52.811,49.801,48.680
H119,H119_P1_4,115.322,109.498,107.111,,114.439,109.383,106.979
H120,H120_P1_1,97.723,96.163,94.794,,97.723,96.163,94.794
H120,H120_P1_2,363.167,353.408,346.210,,363.167,353.408,346.210
H121,H121_P1_1,535.813,519.561,504.698,,527.828,512.444,503.837
H125,H125_P1_1,345.301,341.650,339.754,,345.301,341.650,339.754
H125,H125_P1_2,157.983,153.377,148.469,,157.857,153.371,148.469
H125,H125_P1_3,67.496,65.676,64.997,,67.496,65.676,64.997
H126,H126_P1_1,584.437,567.164,553.820,,583.078,566.554,553.217
H127,H127_P1_1,111.963,111.536,111.357,,111.963,111.536,111.357
H127,H127_P1_2,169.927,166.128,162.611,,169.927,166.128,162.611
H127,H127_P1_3,229.686,222.894,218.196,,229.686,222.894,218.196
H129,H129_P1_1,325.766,313.822,306.415,,310.990,300.392,294.445
H129,H129_P1_2,8.143,8.141,8.138,,8.143,8.141,8.138
H129,H129_P1_3,100.209,97.894,94.825,,100.209,97.894,94.825
H129,H129_P1_4,139.556,136.223,133.852,,139.400,136.098,133.742
H130,H130_P1_1,535.598,520.682,505.194,,534.273,520.283,505.125
H133,H133_P1_1,210.102,201.998,199.883,,208.516,201.815,199.915
H133,H133_P1_2,432.354,419.673,399.664,,431.374,418.932,399.598
H135,H135_P1_1,340.934,321.742,302.507,,327.518,310.266,294.915
H135,H135_P1_2,94.997,90.395,87.086,,94.997,90.395,87.086
H136,H136_P1_1,481.334,473.236,465.806,,481.334,473.236,465.806
H141,H141_P1_1,28.661,27.839,27.644,,28.661,27.839,27.644
H141,H141_P1_2,4.545,4.540,4.525,,4.545,4.540,4.525
H141,H141_P1_3,34.755,34.220,33.918,,34.755,34.220,33.918
H141,H141_P1_4,15.440,15.384,15.378,,15.440,15.384,15.378
H141,H141_P1_5,233.066,228.413,224.386,,233.028,228.416,224.389
H141,H141_P1_6,10.216,10.136,10.134,,10.216,10.136,10.134
H142,H142_P1_1,53.060,51.842,50.906,,52.995,51.753,50.865
H142,H142_P1_2,11.982,11.630,11.606,,11.982,11.630,11.606
H142,H142_P1_3,589.744,566.618,544.078,,578.648,559.628,539.314
H142,H142_P1_4,65.791,64.098,62.262,,65.786,64.106,62.272
H142,H142_P1_5,45.713,43.976,43.112,,45.713,43.976,43.112
H143,H143_P1_1,178.513,170.206,163.768,,178.485,170.188,163.791
H143,H143_P1_2,15.087,13.279,13.231,,15.087,13.279,13.231
H143,H143_P1_3,84.232,83.726,83.348,,84.232,83.726,83.348
H143,H143_P1_4,125.633,124.435,123.651,,125.701,124.484,123.666
H143,H143_P1_5,44.525,44.094,43.973,,44.525,44.094,43.973
H144,H144_P1_1,161.870,157.022,153.018,,161.052,156.811,153.003
H144,H144_P1_2,316.207,303.299,295.887,,314.548,301.960,294.976
H144,H144_P1_3,54.521,53.994,53.532,,54.521,53.994,53.532
H145,H145_P1_1,148.100,146.665,145.646,,148.100,146.665,145.646
H145,H145_P1_2,397.690,392.314,386.876,,395.989,391.515,386.783
H146,H146_P1_1,82.117,81.659,81.501,,82.117,81.659,81.501
H146,H146_P1_2,39.642,39.534,39.418,,39.642,39.534,39.418
H146,H146_P1_3,14.427,14.405,14.400,,14.427,14.405,14.400
H146,H146_P1_4,166.998,164.563,163.283,,166.987,164.624,163.333
H146,H146_P1_5,7.571,7.568,7.562,,7.571,7.568,7.562
